CHFJPY,GBPJPY
130.065,159.834
131.598,161.428
131.165,160.904
131.069,160.82
132.521,162.172
131.959,160.906
131.939,160.048
131.766,159.832
132.363,160.67
132.28,160.582
132.521,161.028
132.901,161.552
132.65,161.717
132.663,162.062
133.01,161.978
133.113,161.805
134.623,163.368
134.354,163.008
134.403,164.822
133.508,164.576
133.935,164.989
133.996,165.042
134.457,165.298
135.376,167.587
134.809,167.114
134.626,167.307
134.214,164.856
134.254,164.879
133.491,163.262
132.181,159.869
132.526,161.098
134.584,162.97
133.174,162.992
133.461,163.33
133.185,162.537
132.906,162.584
132.606,163.126
132.118,160.859
132.033,160.862
132.232,161.044
131.126,160.649
130.886,160.585
130.663,159.148
127.924,156.578
128.866,158.402
128.996,158.265
128.687,158.985
130.122,161.536
129.651,158.289
131.286,159.179
131.224,159.648
131.102,159.523
132.33,160.913
131.97,158.932
132.086,160.025
132.352,160.131
132.71,160.364
132.688,160.387
133.18,161.391
134.004,162.109
134.979,162.453
135.397,163.27
135.863,163.347
135.923,163.366
135.82,165.258
136.306,166.943
137.098,168.23
136.976,167.888
135.903,165.343
135.978,165.438
134.65,163.068
135.106,162.614
134.53,162.859
136.727,163.375
138.928,164.806
139.018,164.909
139.542,165.428
141.384,167.77
141.527,166.948
140.329,165.362
140.996,165.728
141.013,165.644
141.535,166.089
142.13,165.88
142.948,165.463
142.068,165.228
140.912,163.489
140.748,163.551
141.131,164.14
140.208,162.329
139.958,161.941
139.573,163.504
139.185,163.538
139.251,163.755
139.7,163.364
139.188,162.575
140.246,163.376
141.218,164.304
141.825,164.27
141.768,164.292
141.299,165.029
142.549,165.724
142.272,165.541
142.065,164.66
141.44,163.195
141.484,163.27
141.626,164.589
142.07,164.68
142.199,165.978
140.549,163.548
139.937,162.135
139.845,162.089
138.53,161.202
138.979,161.912
139.214,162.48
139.196,161.664
140.284,162.811
140.326,162.927
141.202,162.99
141.616,163.054
140.866,162.295
141.194,162.224
141.597,161.741
141.644,161.866
140.795,160.635
141.231,162.26
141.852,162.76
141.975,162.093
142.715,161.923
142.681,161.713
142.602,161.742
141.723,161.723
141.759,161.661
141.628,161.502
142.378,161.58
142.325,161.368
143.209,162.348
142.368,161.691
142.151,161.534
142.73,161.812
142.748,161.3
142.577,160.949
143.35,161.941
145.011,164.399
147.043,165.813
148.308,165.726
148.398,165.127
148.446,165.617
149.688,166.787
150.258,166.253
148.638,165.129
149.157,164.497
148.079,163.152
148.143,163.166
148.488,163.698
149.035,163.522
148.969,162.385
145.477,160.114
145.947,155.496
145.875,155.076
145.372,154.407
145.931,155.342
147.505,156.77
148.025,160.63
146.547,161.565
146.54,161.767
145.671,163.633
147.065,165.426
146.947,163.648
146.387,161.995
146.016,161.021
146.093,161.154
145.689,161.083
146.055,159.973
147.121,162.978
146.953,166.721
147.899,166.114
147.499,166.457
149.404,169.259
149.962,168.887
149.046,168.087
149.462,168.605
147.847,166.739
148.668,168.679
148.77,168.041
148.77,169.855
148.38,170.129
147.562,169.175
147.933,171.19
148.183,171.351
148.461,170.528
148.137,170.09
147.486,168.431
146.22,165.409
147.363,166.64
147.299,166.281
148.135,168.678
147.747,168.169
148.59,166.276
146.855,165.677
147.202,164.106
147.902,164.505
148.373,164.545
147.367,165.196
147.577,166.141
147.249,166.402
146.992,166.794
147.005,166.82
148.182,167.962
